state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skyline
56300000	-13150.6425281945	-4117.41302003406	-9033.22950816039	1360.64662155333	4610.10019030199	606.52299779168	961.70296723288	679.582309752796	71.659678586273	257.226807026539	293.431141887793	123.245253501147	51.1105971768261	11.1985021095647	11	2	36	3	6	2	14	8	14	3	5.68958989664637	4.23780179431916	0.388542262830818	0.152371156015997	0.228948101217774	0.230138479935413	0.153638894788728	0.000149762880064213	0.266235519525754	0.000141871852801495	0.271038884588141	0.00181045143123728	-9033.22950816039	-1047.07687207752	-699.808441088784
56400000	-13160.4209110021	-4111.27608971146	-9049.14482129062	1338.60376572333	5252.58538798457	856.870178552247	407.140356630382	830.395058865398	642.124719531395	648.618373114127	229.893013441614	227.293342778411	153.584685250253	22.2080296202094	11	5	8	1	25	2	15	5	12	15	5.85997589865118	3.50519649992564	0.384852543521893	0.170695511290689	0.211740944586472	0.232711000600948	0.14164794000542	0.000158384955084389	0.379404787787487	0.000151386013228942	0.372322359787561	0.0551003021257287	-9049.14482129062	-1047.07687207752	-690.608679433291
56500000	-13156.3703687188	-4124.92303693427	-9031.44733178454	1337.54000242059	3826.65089882514	2323.62580149886	484.143350374815	1230.83358201804	1286.45481988352	778.262942264883	435.04702820967	114.159179292402	197.028487878587	13.6802758901239	11	3	5	15	5	12	25	16	1	6	5.32483443111843	3.71084943899533	0.403572750031408	0.167667083521061	0.220022161309965	0.208738005137567	0.145306018577555	0.000154582284295127	0.245999200537626	0.00015413346377186	0.239361278296724	-0.00444525508221504	-9031.44733178454	-1047.07687207752	-701.71140897274
56600000	-13169.6407180723	-4113.3611334277	-9056.27958464458	1378.74703239872	3190.610612335	2375.04830556568	368.63160178099	1289.92789756254	281.482377361286	356.57096228142	223.1396656871	45.3184311265678	25.1105138065859	38.4083884703648	9	5	10	26	5	10	8	14	4	8	5.25142079699623	3.03568394935472	0.384570169110462	0.16413791688176	0.214711170546955	0.236580743460825	0.139182908774573	0.000154072857771204	0.110188326385471	0.000153915790199688	0.116554838634359	-0.0405874123415961	-9056.27958464458	-1047.07687207752	-696.138635914406
56700000	-13143.3813254144	-4095.33458960658	-9048.04673580781	1326.35514266173	3225.59678042734	5255.32692557645	3790.8431996457	1104.11958494846	377.106792980037	194.940605374127	155.749153160439	64.8033637058052	86.9151937483052	2.94624125316692	7	2	4	28	1	28	12	7	4	6	5.49447535899949	3.14534481018467	0.406184294335745	0.1625319654353	0.206833906248833	0.224449833980125	0.155867663658233	0.000176837464334765	0.237704960125309	0.000170784804084637	0.267455163595438	0.075351313104168	-9048.04673580781	-1047.07687207752	-676.221143623192
56800000	-13175.5727335872	-4115.16123652234	-9060.4114970649	1348.64012814343	1835.2208742082	1456.15115216342	2934.19308800783	711.662671514198	233.517013937997	462.901672081162	356.22850393824	80.8974497272407	35.9032069752596	70.5161402547238	16	11	2	11	2	26	4	22	4	1	5.19669641913027	2.68330143452387	0.396367071717509	0.168291125657157	0.211284788633384	0.224057013991952	0.153693557954947	0.00016245891154512	0.000857799294529098	0.000162460416190291	0.000855195306334973	-0.00169924249760256	-9060.4114970649	-1047.07687207752	-697.141476243558
56900000	-13140.9103521509	-4087.32524249602	-9053.58510965489	1352.38215290649	1947.62125027292	846.153888126918	712.8922048673	1535.74775675505	289.469224289685	162.300908276679	179.919519543439	170.334117965729	185.972084687432	43.0215157504425	10	10	6	14	1	17	8	10	2	21	5.69639704850489	2.80762742003345	0.381448084444367	0.172946076663933	0.22779178942598	0.217814049465722	0.143469803143733	0.000212307348876304	0.239944322627389	0.000203846780070899	0.237878782620013	0.0400858241322997	-9053.58510965489	-1047.07687207752	-669.332933799858
57000000	-13148.4393293802	-4088.07446263528	-9060.36486674494	1337.21730751043	1541.08542504766	1963.2429186719	4836.37803869464	619.950823966555	656.469616120957	288.705452511392	294.881177550612	46.5749965887681	32.6671026325495	29.137538766948	5	10	2	2	23	26	7	10	8	6	5.34441174190474	3.77084255770431	0.394371832953539	0.159909326544551	0.223055740215059	0.222663100286853	0.146338435977943	0.000205663803063815	0.32593885335497	0.000205587458010436	0.33207782852359	0.0153423551641413	-9060.36486674494	-1047.07687207752	-668.859753803747
57100000	-13167.2809843877	-4112.12980111182	-9055.15118327585	1341.94505656249	1998.55090300336	4083.04143296025	566.978190502499	658.84629834999	1415.82536979415	320.544111978555	87.8110128946554	90.5762735940323	30.6701252933729	8.06886241073022	7	10	7	3	14	31	1	20	5	1	6.13045174382155	3.31268069554601	0.402312515735827	0.178306704591385	0.205283225287564	0.214097554385227	0.142154318869398	0.000168601103480007	0.274641796709893	0.000167526424448908	0.277919155527232	0.0102494774572929	-9055.15118327585	-1047.07687207752	-694.410785104841
57200000	-13133.0434225957	-4094.16691442294	-9038.87650817271	1353.67242272566	1548.9902468126	1893.48587672379	1517.63002730206	698.434585283188	1038.70691377647	316.826408979588	84.5034908548079	21.2818183129136	69.2573348971199	13.5734716786687	2	2	15	8	14	23	22	2	5	6	5.32375409868717	3.30024938234246	0.391818431265197	0.155045038965273	0.22186097512594	0.231275554643591	0.141955018252876	0.000207734769863516	0.309620548342992	0.000194271690746188	0.308798604127727	-0.0773027078679295	-9038.87650817271	-1047.07687207752	-676.661681015516
57300000	-13145.3770208057	-4106.65167542185	-9038.72534538382	1365.02885802447	4924.2877984978	1002.59764703124	1711.40872007264	1221.93261103466	622.537934424824	343.458656058672	229.288280449583	168.661305474709	64.4255685768194	35.6693399494605	6	27	2	5	4	22	6	4	11	12	5.49786189397099	3.03731466875868	0.371783630553563	0.181081415640646	0.225673362681551	0.221461591124242	0.150447358914453	0.000167270689071577	0.172353754065587	0.000166551709012628	0.176642070535092	0.00592322125820812	-9038.72534538382	-1047.07687207752	-687.431616824711
57400000	-13147.1561294413	-4111.8102985819	-9035.34583085937	1376.03388502556	6233.90609361871	1175.28737926102	4189.85529430547	385.279402895212	267.290625554268	238.906647348169	352.291094848198	117.782233990959	71.656261660117	45.5088232497919	7	29	3	15	3	2	12	4	21	3	6.11138680780284	3.90592344047823	0.381204992017712	0.168848499088575	0.210999196750429	0.238947312143287	0.154342304597488	0.000161898517698793	0.124689215414103	0.00015930102900725	0.117216594542059	-0.177930100445313	-9035.34583085937	-1047.07687207752	-690.542919692285
57500000	-13153.9947497496	-4111.2016890146	-9042.79306073496	1349.01971853923	2706.26363968167	1410.08353224156	622.335025472437	237.460550754448	1187.24471965622	206.390871435799	389.809467157164	106.355068626508	39.2975727979337	30.7076205301431	14	29	2	3	2	11	12	16	9	1	5.43814016866359	2.55954832530261	0.389872734352336	0.173274490922639	0.208585426176948	0.22826734854808	0.14408202124217	0.000155878481277137	0.26330430534426	0.000162744104600623	0.295510048272725	-0.0645515913448762	-9042.79306073496	-1047.07687207752	-692.056182343411
57600000	-13132.8369603929	-4077.4290500294	-9055.4079103635	1330.17993691904	3264.1812265138	1212.62746958346	120.476895483274	720.014699479979	359.358445540955	103.424038104531	24.513821486415	26.7691648728276	32.1483588218837	8.09811362363527	6	34	10	1	22	4	5	1	12	4	5.79478639949442	3.26444354464113	0.375825536204266	0.167139630837394	0.221005722198698	0.236029110759645	0.150689643752401	0.000173656088171529	0.170733202319011	0.000173679041986023	0.171597839410865	0.0439740346028739	-9055.4079103635	-1047.07687207752	-664.36250464213
57700000	-13134.7990415043	-4117.00388325786	-9017.79515824639	1370.09422987215	2979.81070093938	1244.86388655357	656.221622558274	1313.90811092966	356.868123054282	394.821989291166	201.455497345294	37.5121075411917	25.1996871653106	27.1666736220906	5	35	3	2	15	5	24	3	5	2	5.14288025053738	2.57277792954694	0.376316243577756	0.186816293246581	0.21671951878875	0.220147944386916	0.146862108480002	0.000189309451512833	0.331750381385133	0.00017755586077799	0.348272717775197	0.00101806224662313	-9017.79515824639	-1047.07687207752	-701.125825959035
57800000	-13129.5604655638	-4098.97236336273	-9030.58810220111	1342.42324622608	3472.45037803458	1435.13674115322	360.117096860346	265.626054226613	226.897359040201	245.808733856749	58.3731593185435	114.587239790803	116.593428517831	21.1474661973473	16	25	14	2	2	14	5	4	9	8	5.27250003091662	2.81249191900742	0.40197148843046	0.170541643238428	0.208185636422757	0.219301231908359	0.148279810066859	0.000181787164684703	0.313091345392681	0.000178032834630516	0.274889881874651	0.00692535708090737	-9030.58810220111	-1047.07687207752	-684.519600007119
57900000	-13150.8279318027	-4102.43615067007	-9048.39178113261	1358.59211169294	3960.52030021854	641.911091961577	949.741595809784	160.49562966599	405.391193336392	219.1942557067	311.17120054757	247.251161842304	78.9919733375779	38.1444546899862	15	23	7	5	5	15	5	1	9	14	5.49577773429206	3.05041841826265	0.380971638540772	0.166516781325472	0.224676749563455	0.227834830570305	0.142489552804778	0.00018071144987389	0.249005110392698	0.000165910061546662	0.256833656010908	-0.0240589348345848	-9048.39178113261	-1047.07687207752	-684.25502437568
58000000	-13143.1018337343	-4109.24705767716	-9033.85477605717	1345.94341944903	2892.26027767409	629.950622499337	1296.29054327111	557.461004101693	317.135238709074	481.8331603248	132.796714247565	55.2108111608628	42.7816167512456	20.5879184506976	16	31	2	1	8	14	6	6	13	2	6.23757504008263	3.93745443192469	0.389602172657042	0.180400414897306	0.217385781900196	0.21261163054546	0.144862716248124	0.00016899659211856	0.207802138261483	0.000167969802592776	0.227304285201705	0.00284214933123563	-9033.85477605717	-1047.07687207752	-693.673433970042
58100000	-13149.6599408762	-4097.35089205576	-9052.30904882041	1357.0201269359	6204.96117912613	1011.10902947933	296.06869114897	356.112226283334	170.905815473425	204.469346262297	32.5209980802104	61.1784981305637	78.3655842352143	50.2523809881598	6	36	5	21	3	5	4	2	2	15	5.59457542511765	3.42242127840488	0.371045245012806	0.168510486358484	0.248100433952303	0.21234383467641	0.138040613201627	0.000191102534694592	0.225126203250028	0.000188192903719991	0.243942694667863	0.0204291405102931	-9052.30904882041	-1047.07687207752	-683.342025315667
58200000	-13132.4194238803	-4099.56200010051	-9032.85742377977	1336.9266868529	10578.7887491777	964.912406451199	1971.28656812834	406.245346103427	937.228826282564	79.2975470767276	36.0839028993644	59.4715468252064	85.9864300066417	7.65392557003	4	27	9	30	1	12	6	1	3	6	5.63984033612882	3.42248843925032	0.393852739114517	0.169890125839782	0.215306208988304	0.220950926057401	0.143605399975044	0.000168925355603785	0.194386989596478	0.000164958449286859	0.210785052118078	-0.0640884350743246	-9032.85742377977	-1047.07687207752	-680.855589989626
58300000	-13118.6820721403	-4070.0008140003	-9048.68125813999	1324.85129080718	4262.67637471812	846.208800892529	326.442284985928	640.849496241834	203.941962854947	51.6862047228811	95.3819238201496	109.565223807581	3.62778932006927	0.000523829204515012	7	36	14	6	10	13	3	4	5	1	6.53753968268698	3.09101840155324	0.37091779359299	0.175396608742622	0.215117595014313	0.238568002650079	0.153441386766195	0.000158039129680466	0.216983477523612	0.000156918184253266	0.234596391309691	-0.121572277729009	-9048.68125813999	-1047.07687207752	-660.449116837684
58400000	-13112.606891796	-4074.19033269311	-9038.41655910285	1326.26280497215	1736.91756531589	1205.42216378788	623.708052358806	291.857851285724	231.126334992468	124.808488880479	45.5050375886939	14.5377380537765	17.5226871190261	9.74435772287785	6	25	11	28	3	3	19	2	1	1	5.65886159228081	3.01740458329993	0.382649462767703	0.172849481138746	0.213448533226247	0.231052522867307	0.148918354802998	0.000216348597568208	0.316734229654186	0.000209803875131363	0.345866220910127	0.0263214519658664	-9038.41655910285	-1047.07687207752	-666.2919930191
