"","subtype","GD"
"504","02_AG",0.07128366
"505","02_AG",0.037742088
"506","02_AG",0.076658348
"507","02_AG",0.064868067
"508","02_AG",0.058441186
"509","02_AG",0.035491971
"510","02_AG",0.030437164
"511","02_AG",0.036008373
"512","02_AG",0.053289099
"513","02_AG",0.062526033
"514","02_AG",0.064495968
"515","02_AG",0.069949331
"516","02_AG",0.054667998
"517","02_AG",0.073275127
"518","02_AG",0.073936267
"519","02_AG",0.062907291
"520","02_AG",0.135925985
"521","02_AG",0.054158917
"522","02_AG",0.039203104
"523","02_AG",0.069316822
"524","02_AG",0.020357617
"525","02_AG",0.033360737
"526","02_AG",0.035027853
"527","02_AG",0
"528","02_AG",0.006578038
"529","02_AG",0.053337862
"530","02_AG",0.001862324
"531","02_AG",0.045606546
"532","02_AG",0.015061382
"533","02_AG",0.058597184
"534","02_AG",0.048235093
"535","02_AG",0.038353265
"536","02_AG",0.064119393
"537","02_AG",0.000984973
"538","02_AG",0.03669337
"539","02_AG",0.041581333
"540","02_AG",0.018745832
"541","02_AG",0.060533476
"542","02_AG",0.051903119
"543","02_AG",0.065958883
"544","02_AG",0.052243832
"545","02_AG",0.05882666
"546","02_AG",0.072170037
"547","02_AG",0.061161798
"548","02_AG",0.04132943
"549","02_AG",0.054545608
"550","02_AG",0.051048843
"551","02_AG",0.083404513
"552","02_AG",0.053161009
"553","02_AG",0.054126813
"554","02_AG",0.064096208
"555","02_AG",0.063735122
"556","02_AG",0.018340161
"557","02_AG",0.06352445
"558","02_AG",0.082045528
"559","02_AG",0.055523397
"560","02_AG",0.0617849
"561","02_AG",0.082977452
"562","02_AG",0.068747904
"563","02_AG",0.081255766
"564","02_AG",0.054331441
"565","02_AG",0.075250815
"566","02_AG",0.067530432
"567","02_AG",0.068306187
"568","02_AG",0.052044973
"569","02_AG",0.018905913
"570","02_AG",0.067336312
"571","02_AG",0.026438183
"572","02_AG",0.05884835
"573","02_AG",0.027404297
"574","02_AG",0.046951482
"575","02_AG",0.066711817
"576","02_AG",0.065363211
"577","02_AG",0.048039351
"578","02_AG",0.035556241
"579","02_AG",0.076670192
"580","02_AG",0.121544416
"581","02_AG",0.064079058
"582","02_AG",0.038928512
"583","02_AG",0.034063034
"584","02_AG",0.011072135
"585","02_AG",0.021291505
"586","02_AG",0.066390853
"587","02_AG",0
"588","02_AG",0.014860323
"589","02_AG",0.054338618
"590","02_AG",5e-09
"591","02_AG",0.023551416
"592","02_AG",0.027526885
"593","02_AG",0.082952921
"594","02_AG",0.044198565
"595","02_AG",0.082261518
"596","02_AG",0.043550861
"597","02_AG",0.000889113
"598","02_AG",0.05032161
"599","02_AG",0.053191887
"600","02_AG",0.007154225
"601","02_AG",0.079689032
"602","02_AG",0.051702757
"603","02_AG",0.077214411
"604","02_AG",0.059724024
"605","A1",0.083383875
"606","A1",0.052411371
"607","A1",0.067640121
"608","A1",0.065152234
"609","A1",0.039884664
"610","A1",0.036325667
"611","A1",0.086132528
"612","A1",0.001865643
"613","A1",0.046059973
"614","A1",0.007613383
"615","A1",0.033425076
"616","A1",0.078004327
"617","A1",0.041919237
"618","A1",0
"619","A1",0.007579156
"620","A1",0.057513729
"621","A1",0.016819992
"622","A1",0.027887153
"623","A1",0.057917101
"624","A1",0.01142068
"625","A1",5e-09
"626","A1",0.053270666
"627","A1",0.011455366
"628","A1",0.053075912
"629","A1",0.012853582
"630","A1",0.025034281
"631","A1",0.081734043
"632","A1",0.085232493
"633","A1",0.049509262
"634","A1",0.057158952
"635","A1",0.010067394
"636","A1",0.040181429
"637","A1",0.051881666
"638","A1",0.072719835
"639","A1",0.040402675
"640","A1",0.040574907
"641","A1",0.013771211
"642","A1",0.021098162
"643","A1",0.054831815
"644","A1",0.059264551
"645","A1",0.072281796
"646","A1",0.05354941
"647","A1",0.024903877
"648","A1",0.124731154
"649","A1",0.111295362
"650","A1",0.087242048
"651","A1",0.041808993
"652","A1",0.078262172
"653","A1",0.038618443
"654","A1",0.091245809
"655","A1",0.007163386
"656","A1",0.009415095
"657","A1",0.049466884
"658","A1",0.052293105
"659","A1",0.053904326
"660","A1",0.044877652
"661","A1",0.03642099
"662","A1",0.012261464
"663","A1",0.081075359
"664","A1",0.07572913
"665","A1",0.039805133
"666","A1",0.075352515
"667","A1",0.000926758
"668","A1",0.038433776
"669","A1",0.006760672
"670","A1",0.003193031
"671","A1",0.069262401
"672","A1",0.003001721
"673","A1",0.002850927
"674","A1",0.059873727
"675","A1",0.068284014
"676","A1",0
"677","A1",5e-09
"678","A1",0.061447999
"679","A1",0.060453553
"680","A1",0.044613924
"681","A1",0.022746224
"682","A1",0
"683","A1",0
"684","A1",0.002936168
"685","A1",0.021425454
"686","A1",0.048212264
"687","A1",0
"688","A1",0.019893545
"689","A1",0
"690","A1",0.068817303
"691","A1",0.043591049
"692","A1",0.031288628
"693","A1",0.000318935
"694","A1",0.064239331
"695","A1",0.046986484
"696","A1",0.025541085
"697","A1",0.020333343
"698","A1",0.063686258
"699","A1",0.052593552
"700","A1",0.058519717
"701","A1",0.062363014
"702","A1",0.071332649
"703","A1",0.133735212
"704","A1",0.065059805
"705","A1",0.044932027
"706","A1",0.053625658
"707","A1",0.051627011
"708","A1",0.054756839
"709","A1",0.078265005
"710","A1",0.060956268
"711","A1",0.054293052
"712","A1",0.071498498
"713","A1",0.069938878
"714","A1",0.039647601
"715","A1",0.055327051
"716","A1",0.065471147
"717","A1",5e-09
"718","A1",0.052434748
"719","A1",0.004742265
"720","A1",0.049693463
"721","A1",0.048448954
"722","A1",0.078797091
"723","A1",0
"724","A1",6e-09
"725","A1",0.047125289
"726","A1",0.023740613
"727","A1",0.071158298
"728","A1",0.058286167
"729","A1",0.010534894
"730","A1",0.006673319
"731","A1",0.074406323
"732","A1",0.007721457
"733","A1",0.05771837
"734","A1",0.056203164
"735","A1",0.042147508
"736","A1",0.071394311
"737","A1",0.032469667
"738","A1",0.06170259
"739","A1",0.060367966
"740","A1",0.004788723
"741","A1",0.034282867
"742","A1",0.052596331
"743","A1",0.08260518
"744","A1",0.01863999
"745","A1",0.032831196
"746","A1",0.01083354
"747","A1",0.019981232
"748","A1",0.07928312
"749","A1",0.069707403
"750","A1",0.068585443
"751","A1",0.068633318
"752","A1",0.029064739
"753","A1",0.068408471
"754","A1",0.086404659
"755","A1",0.013187126
"756","A1",0.093374496
"757","A1",0.086310947
"758","A1",0.032661176
"759","A1",0.066019607
"760","A1",0.008127834
"761","A1",0.01173915
"762","A1",0.03095667
"763","A1",0.0544939
"764","A1",0.088497616
"765","A1",0.041620507
"766","A1",0.026198734
"767","A1",0.01193833
"768","A1",0.06628326
"769","A1",0.049529689
"770","A1",0.05307175
"771","A1",0.032575721
"772","A1",5e-09
"773","A1",0.036947404
"774","A1",0.005608109
"775","A1",0.000610695
"776","A1",0.074192097
"777","A1",0.003672409
"778","A1",0.003894088
"779","A1",0.062392313
"780","A1",0.045375366
"781","A1",0
"782","A1",0.000931014
"783","A1",0.049722784
"784","A1",0.053687663
"785","A1",0.082113086
"786","A1",0.044117835
"787","A1",0
"788","A1",0
"789","A1",0.023455487
"790","A1",0.029898233
"791","A1",0.035496172
"792","A1",0
"793","A1",0.033095852
"794","A1",0
"795","A1",0.034022412
"796","A1",0.064906038
"797","A1",0.061183818
"798","A1",0.006272885
"799","A1",0.070519711
"800","A1",0.078676931
"801","A1",0.041832132
"802","A1",0.03156118
"803","A1",0.041271545
"804","A1",0.062038438
"805","A1",0.052172262
"806","A1",0.084602801
"807","A1",0.048804857
"808","A1",0.018006908
"809","A1",0.064857689
"810","A1",0.035869457
"811","A1",0.06342011
"812","A1",0.049067917
"813","A1",0.047510143
"814","A1",0.08925707
"815","B",0.006637227
"816","B",0.00681263
"817","B",5e-09
"818","B",0.05165583
"819","B",0.044226804
"820","B",0.062890286
"821","B",0.032923412
"822","B",0
"823","B",0.001955131
"824","B",0.014293195
"825","B",0.051147347
"826","B",0.041542819
"827","B",0.036954638
"828","B",0.000913971
"829","B",0
"830","B",0.014598988
"831","B",0.002611382
"832","B",0.001955179
"833","B",0.047452997
"834","B",0
"835","B",0.001465256
"836","B",0.002699155
"837","B",0.063044986
"838","B",0.07344805
"839","B",0.022523156
"840","B",0.021209851
"841","B",0.018263709
"842","B",0.012163134
"843","B",0.079087476
"844","B",0.090671562
"845","B",0.07922313
"846","B",0.065902773
"847","B",5e-09
"848","B",0.061412772
"849","B",0.061492903
"850","B",0.057449268
"851","B",0.031667224
"852","B",0.038872948
"853","B",0
"854","B",0
"855","B",0.066790638
"856","B",0
"857","B",0.056386497
"858","B",0.064986149
"859","B",0.048706556
"860","B",0.002938638
"861","B",0.072329635
"862","B",0.066036864
"863","B",0.001006036
"864","B",0.078713892
"865","B",0
"866","B",0.078347865
"867","B",0.011948731
"868","B",0.063574399
"869","B",0.028400124
"870","B",0.015226991
"871","B",0.074120607
"872","B",0
"873","B",0.006956088
"874","B",5e-09
"875","B",0.043841268
"876","B",0.056761366
"877","B",0.057585004
"878","B",0.071795538
"879","B",0.044994262
"880","B",0.070866816
"881","B",0.051270094
"882","B",0.000980977
"883","B",0
"884","B",0.000973096
"885","B",0.006902527
"886","B",0.004159075
"887","B",0.002935031
"888","B",0
"889","B",0.003890586
"890","B",0.00390761
"891","B",0.005799756
"892","B",0.003853827
"893","B",0.004592123
"894","B",0.006887883
"895","B",0.017760364
"896","B",0.018458299
"897","B",0.069056707
"898","B",0.037846738
"899","B",0.028381375
"900","B",0.058205269
"901","B",0.031945107
"902","B",0.078347067
"903","B",0.000973184
"904","B",0.058994756
"905","B",0.001992882
"906","B",0.0516228
"907","B",0.033449684
"908","B",0.007751035
"909","B",0.058686162
"910","B",0.049464739
"911","B",0.067904486
"912","B",0.060675013
"913","B",0.10833417
"914","B",0.006713835
"915","B",0.050063088
"916","B",0.035192813
"917","B",0.04329601
"918","B",0.026996973
"919","B",0.050994949
"920","B",0.02226052
"921","B",0.01702259
"922","B",0.036428781
"923","B",0.031677073
"924","B",0.033696858
"925","B",0.033868811
"926","B",0.031498423
"927","B",0.060869685
"928","B",0.024436313
"929","B",0.071515339
"930","B",0.042190224
"931","B",0.042584484
"932","B",0
"933","B",0.094278632
"934","B",0.036829415
"935","B",0.005754604
"936","B",0.049300058
"937","B",0.019872295
"938","B",0.058124706
"939","B",0.015750295
"940","B",0.024751081
"941","B",0.014029699
"942","B",0.03865981
"943","B",0.020135334
"944","B",0.036311697
"945","B",0.042300986
"946","B",0.038865692
"947","B",0.047930318
"948","B",0.001908758
"949","B",0.000979837
"950","B",0.000976045
"951","B",0.01687756
"952","B",0.02061245
"953","B",0.019509158
"954","B",0.000968258
"955","B",0
"956","B",0
"957","B",0
"958","B",0
"959","B",0
"960","B",0
"961","B",0
"962","B",0
"963","B",0
"964","B",0
"965","B",0
"966","B",0
"967","B",0
"968","B",0.056630047
"969","B",0.036261702
"970","B",0.04866694
"971","B",0.021335527
"972","B",0.023053564
"973","B",0.037527443
"974","B",0.044031468
"975","B",0.021237242
"976","B",0.030036756
"977","B",0.028236826
"978","B",0.003855337
"979","B",0.037672317
"980","B",0.024303263
"981","B",0.007867752
"982","B",0.023069814
"983","B",0.017301453
"984","B",0.02807018
"985","B",0.025317737
"986","B",0.047601776
"987","B",0.001949444
"988","B",0.012171013
"989","B",0.004397423
"990","B",0.002369929
"991","B",0.020152363
"992","B",0.009808696
"993","B",0.021732907
"994","B",0.035974253
"995","B",0.020050043
"996","B",0.036585507
"997","B",0.000971982
"998","B",0.000982142
"999","B",0.041168777
"1000","B",0.002715035
"1001","B",0.005745989
"1002","B",0
"1003","B",0.003698535
"1004","B",0.007259312
"1005","B",0.004445476
"1006","B",0
"1007","B",0
"1008","B",0.004837884
"1009","B",0.007864879
"1010","B",5e-09
"1011","B",0.000985432
"1012","B",0
"1013","B",0.001950766
"1014","B",0.003926497
"1015","B",0.057841499
"1016","B",0.065967207
"1017","B",0.075416544
"1018","B",0.068870633
"1019","B",0
"1020","B",0.056348807
"1021","B",0.063752963
"1022","B",0.010900143
"1023","B",0.005729244
"1024","B",0.042352895
"1025","B",5e-09
"1026","B",0.006155346
"1027","B",0.047310384
"1028","B",0.026321344
"1029","B",0.087171084
"1030","B",0.066051714
"1031","B",0.059435394
"1032","B",0.008806594
"1033","B",0.060145226
"1034","B",5e-09
"1035","B",0.045385153
"1036","B",0.05042314
"1037","B",0.052400533
"1038","B",0.042650084
"1039","B",0.071054005
"1040","B",0.005822118
"1041","B",0.003650017
"1042","B",0.000963925
"1043","B",0.026964984
"1044","B",0.017241206
"1045","B",0.054299499
"1046","B",0.058921643
"1047","B",0.055183023
"1048","B",0.046822369
"1049","B",0.039285856
"1050","B",0
"1051","B",0.042921367
"1052","B",0.007905501
"1053","B",0.005734353
"1054","B",0.055151999
"1055","B",0.068108674
"1056","B",0.023110519
"1057","B",0.059158128
"1058","B",0.049649487
"1059","B",0.048048941
"1060","B",0.0657894
"1061","B",0.052154649
"1062","B",0.018555469
"1063","B",0.044762786
"1064","B",0
"1065","B",0.038750214
"1066","B",0.029251561
"1067","B",0
"1068","B",0
"1069","B",0.065452553
"1070","B",0.050820795
"1071","B",0.033949946
"1072","B",0
"1073","B",0.053071367
"1074","B",0.054560826
"1075","B",0.022780478
"1076","B",0.026546611
"1077","B",0.041184166
"1078","B",0.012820591
"1079","B",0.026345544
"1080","B",0.043622643
"1081","B",0
"1082","B",0.046660158
"1083","B",0.00097454
"1084","B",0.073524405
"1085","B",0.015131689
"1086","B",0
"1087","B",0.00097475
"1088","B",0.018467475
"1089","B",0
"1090","B",0.056389167
"1091","B",0.022585781
"1092","B",0.025368224
"1093","B",0.078585487
"1094","B",0.038057892
"1095","B",0.049826986
"1096","B",0
"1097","B",0.049303035
"1098","B",0.046937547
"1099","B",0.070119351
"1100","B",0.059166769
"1101","B",0.054127921
"1102","B",0
"1103","B",0.066728134
